iter	Passed	Remaining
774	15078	4377
775	15097	4358
776	15118	4339
777	15144	4321
778	15175	4305
779	15202	4287
780	15228	4270
781	15255	4252
782	15278	4234
783	15303	4216
784	15325	4197
785	15349	4179
786	15369	4159
787	15391	4140
788	15415	4122
789	15445	4105
790	15474	4088
791	15501	4071
792	15522	4051
793	15533	4030
794	15575	4016
795	15601	3998
796	15625	3980
797	15644	3960
798	15668	3941
799	15674	3918
800	15693	3898
801	15712	3879
802	15729	3858
803	15751	3839
804	15772	3820
805	15795	3801
806	15815	3782
807	15838	3763
808	15855	3743
809	15876	3724
810	15897	3704
811	15918	3685
812	15940	3666
813	15958	3646
814	15981	3627
815	16002	3608
816	16020	3588
817	16043	3569
818	16063	3550
819	16082	3530
820	16105	3511
821	16130	3493
822	16147	3472
823	16166	3453
824	16177	3431
825	16206	3413
826	16239	3397
827	16261	3377
828	16282	3358
829	16302	3339
830	16312	3317
831	16333	3298
832	16359	3279
833	16387	3261
834	16414	3243
835	16440	3225
836	16464	3206
837	16484	3186
838	16517	3169
839	16559	3154
840	16583	3135
841	16609	3116
842	16635	3098
843	16655	3078
844	16680	3059
845	16690	3038
846	16708	3018
847	16729	2998
848	16748	2978
849	16772	2959
850	16792	2940
851	16810	2920
852	16829	2900
853	16849	2880
854	16871	2861
855	16892	2841
856	16916	2822
857	16933	2802
858	16954	2783
859	16974	2763
860	16994	2743
861	17009	2723
862	17027	2703
863	17040	2682
864	17059	2662
865	17081	2643
866	17105	2623
867	17129	2604
868	17152	2585
869	17179	2566
870	17204	2548
871	17229	2529
872	17247	2509
873	17271	2489
874	17295	2470
875	17321	2451
876	17346	2432
877	17369	2413
878	17394	2394
879	17422	2375
880	17444	2356
881	17475	2338
882	17505	2319
883	17532	2300
884	17565	2282
885	17595	2264
886	17618	2244
887	17645	2225
888	17672	2206
889	17705	2188
890	17734	2169
891	17757	2149
892	17774	2129
893	17794	2109
894	17816	2090
895	17834	2070
896	17863	2051
897	17882	2031
898	17912	2012
899	17941	1993
900	17963	1973
901	17982	1953
902	18003	1933
903	18027	1914
904	18049	1894
905	18070	1874
906	18095	1855
907	18121	1836
908	18151	1817
909	18178	1797
910	18198	1777
911	18218	1757
912	18239	1738
913	18259	1718
914	18279	1698
915	18297	1677
916	18318	1658
917	18336	1637
918	18356	1617
919	18380	1598
920	18403	1578
921	18425	1558
922	18447	1538
923	18464	1518
924	18484	1498
925	18509	1479
926	18534	1459
927	18555	1439
928	18575	1419
929	18596	1399
930	18607	1379
931	18629	1359
932	18650	1339
933	18670	1319
934	18688	1299
935	18711	1279
936	18733	1259
937	18759	1239
938	18782	1220
939	18808	1200
940	18828	1180
941	18848	1160
942	18866	1140
943	18886	1120
944	18897	1099
945	18915	1079
946	18932	1059
947	18947	1039
948	18969	1019
949	18989	999
950	19006	979
951	19028	959
952	19052	939
953	19072	919
954	19093	899
955	19118	879
956	19144	860
957	19161	840
958	19182	820
959	19199	799
960	19222	780
961	19239	759
962	19277	740
963	19306	721
964	19328	701
965	19350	681
966	19379	661
967	19406	641
968	19431	621
969	19463	601
970	19496	582
971	19532	562
972	19570	543
973	19605	523
974	19637	503
975	19665	483
976	19693	463
977	19721	443
978	19754	423
979	19789	403
980	19824	383
981	19860	364
982	19891	344
983	19916	323
984	19945	303
985	19974	283
986	20004	263
987	20036	243
988	20067	223
989	20098	203
990	20131	182
991	20171	162
992	20204	142
993	20238	122
994	20263	101
995	20296	81
996	20326	61
997	20348	40
998	20378	20
999	20411	0
